,lin,rest_name,rest_type,loc,dine_rating,dine_reviews,delivery_rating,delivery_reviews,cuisine,cost,liked
1521,https://www.zomato.com/phillydiner,"Philly Fried Chicen
                                    ",,Wadgaon Sheri,4,816,,,"Fast Food,",350,"Burgers, Chicen Burger, Rice Bowl, Wings"
1522,https://www.zomato.com/pune/7thheavencaeshopvimannagar,"7th Heaven Cae Shop
                                    ",Baery,Viman Nagar,3.6,2230,,,"Desserts,Baery,",600,"Brownie, Chocolava Cae, Cupcae, Lava Cae, Cheesecae, Chocolate Truffle"
1523,https://www.zomato.com/pune/redchefothrud,"Red Chef
                                    ",,othrud,4.3,97,,,"Chinese,",500,
1524,https://www.zomato.com/pune/lepetitamourpatisseriebistroothrud,"Le Petit Amour Patisserie & Bistro
                                    ","Café,Dessert Parlor",othrud,4.6,881,4.3,473,"Salad,Desserts,European,French,Cafe,",800,"Pasta, Sandwich, Salad, Fries, Cheesecae, Fish, Coffee"
1525,https://www.zomato.com/pune/eatandtreatnigdi,"Eat And Treat
                                    ",Quic Bites,Nigdi,3.4,19,2.9,30,"Beverages,Rolls,Fast Food,Sandwich,",300,
1526,https://www.zomato.com/pune/degchisbiryanicafesalunheviharroad,"Degchi's Biryani Cafe
                                    ",Quic Bites,Salunhe Vihar Road,3.8,185,3.7,477,"North Indian,Fast Food,Momos,Biryani,",500,"Chicen Dum Biryani, Mutton Biryani, Chicen Tia Biryani, Haleem, Mutton Cutlets, eema Pav, Paratha"
1527,https://www.zomato.com/pune/neelrajmisalhousebaner,"Neelraj Misal House
                                    ",Quic Bites,Baner,3.7,33,,,"Maharashtrian,",200,
1528,https://www.zomato.com/pune/smoinjoescamparea,"Smoin' Joe's
                                    ",Quic Bites,Camp Area,3.3,85,3.2,791,"Fast Food,Pizza,",600,Fries
1529,https://www.zomato.com/pune/handeshexpressothrud,"handesh Express
                                    ",Quic Bites,othrud,3.9,324,4,2779,"North Indian,Maharashtrian,",400,"Sev Bhaji, Chicen Handi, Chicen Fry Thali, Dal Bati"
1530,https://www.zomato.com/pune/chungfaeaststreet,"Chung Fa
                                    ",Casual Dining,East Street,4.1,712,4.1,175,"Fast Food,Seafood,Chinese,",800,"Haa Noodles, Chicen Sizzler, Pepper Chicen, Fish, Lamb, Clear Soup, Chicen Lemon Coriander Soup"
1531,https://www.zomato.com/pune/circleofcrustwadgaonsheri,"Circle of Crust
                                    ",,Wadgaon Sheri,4.2,217,,,"Fast Food,Pizza,",500,
1532,https://www.zomato.com/pune/aarvipurevegsinhgadroad,"aarvi Pure Veg
                                    ",Casual Dining,Sinhgad Road,3.6,228,3.7,1585,"Beverages,Chinese,North Indian,",750,"Manchow Soup, Paneer Tia Masala, Mata Dum Biryani, Pineapple Raita, Veg Dum Biryani, Aamras Puri"
1533,https://www.zomato.com/pune/globalpunjabwaad,"Global Punjab
                                    ",Casual Dining,Waad,4,797,4,619,"Beverages,Seafood,Chinese,Mughlai,North Indian,",900,"Biryani, Naan, Mumtaz Tangdi, Bhuna Chicen, Noodle, Chicen ebab, Masala Papad"
1534,https://www.zomato.com/pune/globalpunjabharadi,"Global Punjab
                                    ",Casual Dining,haradi,4.2,1140,4.1,7112,"Beverages,Seafood,Chinese,Mughlai,North Indian,",900,"Biryani, Dal Mahani, Tandoori Chicen, Roti, Masala Papad, Fish, Spring Roll"
1535,https://www.zomato.com/pune/globalpunjabsinhgadroad,"Global Punjab
                                    ",Casual Dining,Sinhgad Road,4.2,1266,4.1,7865,"Beverages,Seafood,Chinese,Mughlai,North Indian,",900,"Biryani, Tandoori Chicen, Dal Mahani, Roti, Naan, Brownie, Moctails"
1536,https://www.zomato.com/pune/globalpunjabmagarpatta,"Global Punjab
                                    ","Casual Dining,Bar","Destination Centre, Magarpatta",4.1,1802,4,8781,"Beverages,Seafood,Chinese,Mughlai,North Indian,",900,"Biryani, Tandoori Chicen, Dal Mahani, Butter Chicen, Moctails, Fish, Naan"
1537,https://www.zomato.com/pune/globalpunjab1haradi,"Global Punjab
                                    ",,haradi,4,0,,,"Beverages,Desserts,Chinese,Seafood,Mughlai,North Indian,",700,
1538,https://www.zomato.com/pune/oyeiddanothrud,"Oye iddan
                                    ",,othrud,4.3,1957,,,"North Indian,",400,"Dal Mahani, Aloo Paratha, Rajma Chawal, Chole, Bbq Chicen Paratha, Butter Chicen, Barbeque Chicen"
1539,https://www.zomato.com/pune/oyeiddanhinjawadi,"Oye iddan
                                    ",,Hinjawadi,4.2,1028,,,"North Indian,",400,"Paratha, Butter Chicen, Lassi, Rajma, Chaach, Chole, Dal Mahani"
1540,https://www.zomato.com/pune/oyeiddanbaner,"Oye iddan
                                    ",,Baner,4.2,7262,,,"North Indian,",400,"Paratha, Chaach, Lassi, Chole ulche, Matar Paneer, Dal Mahani, Gulab Jamun"
1541,https://www.zomato.com/pune/oyeiddanwadgaonsheri,"Oye iddan
                                    ",,Wadgaon Sheri,4.2,4303,,,"North Indian,",400,"Chole, Rajma Chawal, Chicen eema, Dal Mahani, Matar Paneer, Cheese Chilli Paratha, Butter Chicen"
1542,https://www.zomato.com/pune/nicnaturalicecreams1pimpri,"NIC  Natural Ice Creams
                                    ",Dessert Parlor,Pimpri,3.9,9,4.5,241,"Desserts,Ice Cream,",150,
1543,https://www.zomato.com/pune/nicnaturalicecreamsothrud,"NIC  Natural Ice Creams
                                    ",,othrud,4.5,674,,,"Desserts,Ice Cream,",150,
1544,https://www.zomato.com/pune/nicnaturalicecreamsswargate,"NIC  Natural Ice Creams
                                    ",,Swargate,4.4,286,,,"Desserts,Ice Cream,",150,
1545,https://www.zomato.com/pune/nicnaturalicecreamsmundhwa,"NIC  Natural Ice Creams
                                    ",Dessert Parlor,Mundhwa,4.5,220,,,"Desserts,Ice Cream,",150,
1546,https://www.zomato.com/pune/nicnaturalicecreamsatraj,"NIC  Natural Ice Creams
                                    ",,atraj,4.4,280,,,"Desserts,Ice Cream,",150,
1547,https://www.zomato.com/pune/nicnaturalicecreamsbaner,"NIC  Natural Ice Creams
                                    ",,Baner,4.1,125,,,"Desserts,Ice Cream,",150,
1548,https://www.zomato.com/pune/nicnaturalicecreamshinjawadi,"NIC  Natural Ice Creams
                                    ",,Hinjawadi,4.6,127,,,"Desserts,Ice Cream,",150,
1549,https://www.zomato.com/pune/nicnaturalicecreamsfatimanagar,"NIC  Natural Ice Creams
                                    ",,Fatima Nagar,4.3,164,,,"Desserts,Ice Cream,",150,
1550,https://www.zomato.com/pune/nicnaturalicecreamswagholi,"NIC  Natural Ice Creams
                                    ",,Wagholi,4.6,172,,,"Desserts,Ice Cream,",150,
1551,https://www.zomato.com/pune/nicnaturalicecreamscamparea,"NIC  Natural Ice Creams
                                    ",,Camp Area,4.4,125,,,"Desserts,Ice Cream,",150,
1552,https://www.zomato.com/pune/nicnaturalicecreams1bibvewadi,"NIC  Natural Ice Creams
                                    ",Dessert Parlor,Bibvewadi,3.7,108,,,"Desserts,Ice Cream,",150,
1553,https://www.zomato.com/pune/nicnaturalicecreamsnigdi,"NIC  Natural Ice Creams
                                    ",Dessert Parlor,Nigdi,3.4,5,4.5,149,"Desserts,Ice Cream,",150,
1554,https://www.zomato.com/pune/nicnaturalicecreamspimpri,"NIC  Natural Ice Creams
                                    ",,Pimpri,3.9,70,,,"Desserts,Ice Cream,",150,
1555,https://www.zomato.com/pune/nicnaturalicecreams1hinjawadi,"NIC  Natural Ice Creams
                                    ",Dessert Parlor,Hinjawadi,3.9,58,,,"Desserts,Ice Cream,",150,
1556,https://www.zomato.com/pune/nicnaturalicecreamslohegaon,"NIC  Natural Ice Creams
                                    ",,Lohegaon,4.3,113,,,"Desserts,Ice Cream,",150,
